word,translation,date,fail,success
Conquistadors,Конкистадоры,2024-03-16,13,8
Further,Дальше,2024-03-16,26,5
Realized,Предполагал,2024-03-16,51,15
All right,Хорошо,2024-03-16,27,5
Sacrifice,Пожертвовать,2024-03-16,45,14
Destiny,Судьба,2024-03-16,35,3
Impostors,Самозванцы,2024-03-16,21,3
Descendants,Потомки,2024-03-16,35,6
Shake,Пашатнет,2024-03-16,22,4
Faith,Вера,2024-03-16,18,4
It will jeopardize,Это поставит под угрозу,2024-03-16,34,15
Destined,Предназначенно,2024-03-16,20,9
Despite,Вопреки,2024-03-16,10,4
Showed,Проявили,2024-03-16,17,3
Courage,Мужество,2024-03-16,20,9
Retrieving,Получение,2024-03-16,22,7
Honor,Честь,2024-03-16,3,2
Wore,Носить,2024-03-16,22,7
Cypher,Шифр,2024-03-16,28,9
Magnificent,Великолепный,2024-03-16,9,2
Inseparable,Неразлучный,2024-03-16,31,16
Matter of minutes,В считанные минуты,2024-03-16,17,7
Disagreements,Разногласия,2024-03-16,21,6
Bond,Связь,2024-03-16,16,5
Hideaway,Укрытие,2024-03-16,12,5
Guess,Догадка,2024-03-16,16,8
Noticed,Заметели,2024-03-16,12,3
No wonder,Не удевительно,2024-03-16,7,3
Inscription,Надпись,2024-03-16,14,5
Concerned,Обеспокоен,2024-03-16,22,10
Divided,Разделено,2024-03-16,11,5
Unified,Обеденить,2024-03-16,11,3
Encroach,Вторгаться,2024-03-16,16,19
Invasion,Вторжение,2024-03-16,10,8
Discovery,Разоблачение,2024-03-16,7,3
Doomed,Обречённый,2024-03-16,6,3
Bold,Смелый,2024-03-16,2,2
Decisive,Решительными,2024-03-16,13,14
Intelligence,Ум,2024-03-16,5,2
Resilience,Стойкость,2024-03-16,4,7
Judge,Судья,2024-03-16,2,2
Worth,Стоит,2024-03-23,2,4
Barely,Едва,2024-03-24,4,2
Carved,Вырезал,2024-03-24,2,2
Revealed,Раскрыл,2024-03-24,2,2
Clue,Подсказку,2024-03-24,2,2
Ferocious,Свирепый,2024-03-24,1,1
Raised,Поднял,2024-03-24,1,1
Mouth,Рот,2024-03-24,3,2
Victims,Жертвы,2024-03-24,3,2
Wandered,Бродил,2024-03-24,1,1
Desires,Желания,2024-03-24,4,2
Whole,Целый,2024-03-24,4,2
Corrupts,Развращает,2024-03-24,4,2
Face,Сталкиваться,2024-03-24,4,3
Confront,Противостоять,2024-03-24,4,2
Remain,Оставаться,2024-03-24,13,4
Ourselves,Себе,2024-03-24,7,9
Desparate,Отчаянный,2024-03-24,20,9
Intention,Намерение,2024-03-24,2,8
Tomb,Гробница,2024-03-24,1,5
Root,Корень,2024-03-24,1,5
Tempt,Соблазнить,2024-03-24,6,11
Head back,Вернуться назад,2024-03-24,5,9
Why the fuck,Какого хрена,2024-03-24,1,4
Hostile,Враг,2024-03-24,2,7
Allies,Союзники,2024-03-24,1,5
Mentioned,Упоменать,2024-03-29,0,1
Unfold,Развернуть,2024-03-29,5,9
Involved,Пречастен,2024-03-29,10,15
Trick,Уловка,2024-03-29,0,1
Solid,Надежный,2024-03-29,3,14
Pamphlet,Брошюра,2024-03-29,18,25
Arrival,Прибытие,2024-03-29,12,28
Stranger,Незнакомец,2024-03-29,1,6
Tossed,Брошена,2024-03-29,5,15
Ultimate homage,Дань уважения,2024-03-29,4,17
Righteous,Праведник,2024-03-29,4,14
Clue,Подсказка,2024-03-29,0,1
Consumed,Поглощен,2024-03-29,7,20
Obsessed,Одержим,2024-03-29,9,22
Relentless,Неумолим,2024-03-29,13,24
Refused,Отказаться,2024-03-29,20,28
Carved,Вырезан,2024-03-29,0,2
Wilderness,Глушь,2024-03-29,0,1
Measure,Мера безопасности,2024-03-29,6,23
Mudslide,Оползень,2024-03-30,3,9
Beheaded,Обезглавленный,2024-03-30,3,11
Proud,Гордый,2024-03-30,5,15
Recall,Вспоминать,2024-03-30,4,17
Consider,Рассматривать,2024-03-30,7,15
Proven,Доказанный,2024-03-30,6,18
Pleasure,Удовольствие,2024-03-30,2,10
Granted,Разрешённый,2024-03-30,3,12
Upset,Расстройство,2024-03-31,3,10
Grief,Горе,2024-03-31,8,24
Interfere,Вмешательство,2024-03-31,9,21
Wish,Хотел,2024-03-31,2,10
Approach,Подойдем,2024-03-31,5,16
Intercept,Перехватить,2024-03-31,9,23
Overwhelmed,Перебить,2024-03-31,11,26
Husbandry,Животноводство,2024-04-07,3,11
Tidying,Уборка,2024-04-07,4,11
Cuisine,Кулинария,2024-04-07,6,16
Embark,Отправляйтесь в путь,2024-04-07,2,10
Efforts,Усилия,2024-04-07,2,10
Hit a hitch,Наткнуться на препятствие,2024-04-07,3,13
Establish,Установить,2024-04-07,4,18
Mounting,Наращивать,2024-04-07,1,11
Vitals,Показатели,2024-04-07,1,9
Consumers,Потребители,2024-04-07,3,11
Schedule,Расписание,2024-04-07,15,34
Supplying,Доставка,2024-04-07,4,20
Fetching,Сбор,2024-04-07,5,18
At least,По крайней мере,2024-04-07,1,12
Refrigerated,Неохлажденные,2024-04-10,4,21
Sufficient,Достаточно,2024-04-10,8,31
Lack,Не хватает,2024-04-10,1,11
Above,Выше,2024-04-10,0,1
Below,Ниже,2024-04-10,1,9
Initial,Первоначальный,2024-04-10,2,8
Downtime,Время простоя,2024-04-10,5,19
Tame,Приручить,2024-04-10,2,14
Closet,Шкаф,2024-04-13,2,12
Track down,Выследить,2024-04-13,2,12
Critter,Живность,2024-04-13,2,13
Assemble,Собрать,2024-04-13,2,12
Encounter,Встретить,2024-04-13,3,15
Resemble,Похожий,2024-04-13,5,24
Restrict,Ограничить,2024-04-13,7,29
Inadvisable,Нецелесообразно,2024-04-13,12,35
It turns out,Оказывается,2024-04-13,3,20
Hired,Нанятый,2024-04-13,7,32
Beautiful,Красивый,2024-04-21,0,1
Examine,Изучить,2024-04-25,4,7
Intended,Предназначенный,2024-04-25,14,11
Mentioned,Упоминается,2024-04-25,0,1
Promising,Многообещающий,2024-04-25,2,7
Pry,Пробивать,2024-04-25,2,4
Fled,Бежать,2024-04-25,10,10
To salvage,Спасать,2024-04-25,2,6
Carry on,Продолжать,2024-04-25,3,5
Renowned,Известный,2024-04-25,13,26
Farewell,Прощание,2024-04-25,2,9
Gather,Собрать,2024-04-25,8,19
Crew,Экипаж,2024-04-25,2,10
Hurry,Поторопитесь,2024-04-25,2,9
Wreck,Крушение,2024-04-25,0,1
Grand day,Великий день,2024-04-26,3,8
Greatness,Величие,2024-04-26,1,4
Behold,Смотреть,2024-04-26,2,8
Inspired,Вдохновение,2024-04-26,3,10
Except,Кроме,2024-04-26,2,8
Got to,Добрался до,2024-04-26,5,10
Ascend,Подняться,2024-04-26,7,16
Beneath,Под,2024-04-26,6,14
Has to,Должен,2024-04-26,3,11
Ravaged,Опустошенный,2024-04-26,17,16
Terrible,Ужасный,2024-04-26,1,6
Eluded,Ускользнул,2024-04-26,6,18
Generous,Щедрый,2024-04-26,13,33
Tribe,Племя,2024-04-26,3,13
According,В соответствии с,2024-04-26,3,13
Throught,Через,2024-04-26,1,3
Get throught,Преодолеть,2024-04-26,7,20
Here i come,Вот и я,2024-04-26,1,8
There we go,Вот так,2024-04-26,4,14
Hatch,Люк,2024-04-26,0,1
On my way,В пути,2024-04-26,1,9
Go on,Продолжайте,2024-04-26,1,8
Deserve,Заслужить,2024-04-26,9,25
Vain,Тщетно,2024-04-26,3,13
Honest,Честный,2024-04-26,2,15
Acquisition,Приобретение,2024-04-26,11,30
Absorb,Впитывать,2024-04-26,3,15
Encouragement,Поощрение,2024-04-26,11,34
In order to,Для того чтобы,2024-04-26,5,17
Weakness,Слабость,2024-04-28,1,4
Refugees,Беженцы,2024-04-28,3,11
Major,Главная,2024-04-28,5,10
